Name;email;department;position;project;task;date;logged hours
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Janek Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-09-20;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Janek Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-09-20;6
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-10-20;3
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-09-20;8
Janek Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-08-20;4
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-08-20;6
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-08-20;1
Will Smith;will.smith@gmail.com;Delivery;HR;Earth;ERT-5555;2021-08-20;1
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2022-10-19;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2022-10-20;8
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Janek Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-09-20;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Janek Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-09-20;6
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-10-20;3
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-09-20;8
Janek Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-08-20;4
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-08-20;6
Will Smith;will.smith@company.com;Delivery;HR;Earth;ERT-5555;2021-08-20;1
Will Smith;will.smith@gmail.com;Delivery;HR;Earth;ERT-5555;2021-08-20;1
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
